Opportunity ID #;OG;Industry Segment;ToW;Closed Quarter;IC  -  Net Revenue;MC  -  Net Revenue;SC  -  Net Revenue;SI  -  Net Revenue;TC  -  Net Revenue;AO  -  Net Revenue;BPO  -  Net Revenue;IO  -  Net Revenue;Responsible Business Entity;Contract Extension Flag;Software Delivery;Client Location
10563137;Resources;RS Chem;O;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
10563145;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Belgium
10563186;Resources;RS Util;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Belgium
10563187;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10563195;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;Digital;N;N;France
10563196;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10563201;Financial Services;FS Banking;C;FY16Q4;S;S;M;S;S;S;S;S;Strategy;N;N;Netherlands
10563336;Communications, Media & Technology;CMT E&HT;O;FY16Q3;S;S;S;S;S;S;S;S;Digital;Y;N;France
10563435;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Netherlands
10563441;Communications, Media & Technology;CMT E&HT;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;France
10563448;Products;PD Life Sciences;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10563455;Products;PD Life Sciences;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10563468;Communications, Media & Technology;CMT C&M;O;FY16Q3;S;S;S;S;S;S;S;S;Digital;Y;N;Netherlands
10563492;Communications, Media & Technology;CMT C&M;C;FY16Q4;S;S;S;S;M;S;S;S;OG;N;N;Netherlands
10563501;Resources;RS Util;O;FY16Q4;S;S;S;S;S;S;S;S;Digital;Y;N;France
10563504;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10563524;Resources;RS Util;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;France
10563525;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;France
10563531;Resources;RS Chem;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Belgium
10563536;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;Y;France
10563547;Resources;RS Energy;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10563559;Resources;RS Energy;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
10563573;Financial Services;FS Banking;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10563590;Products;PD Transp Svc;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;France
10563591;Products;PD Ind Equip;C;FY16Q4;S;S;S;L;S;S;S;S;Digital;N;;France
10563601;Communications, Media & Technology;CMT C&M;C;FY16Q4;S;M;S;S;S;S;S;S;OG;N;N;Netherlands
10563610;Resources;RS Util;C;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;N;France
10563624;Communications, Media & Technology;CMT E&HT;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;N;N;Netherlands
10563632;Products;PD Auto;C;FY16Q4;S;M;S;S;S;S;S;S;OG;N;N;France
10563644;Resources;RS Util;O;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
10563655;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;France
10563656;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Belgium
10563661;Products;PD Transp Svc;C;FY16Q3;S;S;S;L;L;S;S;S;OG;Y;N;France
10563673;Communications, Media & Technology;CMT C&M;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10563686;Communications, Media & Technology;CMT C&M;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10563688;Financial Services;FS Banking;C;FY16Q3;S;S;S;L;S;S;S;S;Technology;N;N;France
10563764;Resources;RS Nat Res;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;Belgium
10563811;Communications, Media & Technology;CMT E&HT;O;FY16Q4;S;S;S;S;S;S;S;S;Digital;Y;Y;France
10563913;Communications, Media & Technology;CMT E&HT;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10563927;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;Digital;N;N;Netherlands
10563929;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10563936;Products;PD Life Sciences;C;FY16Q4;S;S;S;S;S;S;S;S;Digital;Y;N;France
10563938;Resources;RS Util;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;Y;France
10563954;Communications, Media & Technology;CMT E&HT;C;FY16Q4;S;M;S;S;S;S;S;S;OG;N;Y;France
10563956;Health & Public Service;H&PS Citizen Service;CO;FY16Q4;S;S;S;L;S;L;S;S;Digital;N;N;Netherlands
10563968;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10563973;Financial Services;FS Insurance;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10563983;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;Y;N;France
10563995;Health & Public Service;H&PS Citizen Service;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Belgium
10563997;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;S;S;S;S;Digital;Y;N;France
10564004;Health & Public Service;H&PS Citizen Service;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;France
10564009;Communications, Media & Technology;CMT E&HT;O;FY16Q4;S;S;S;S;S;S;S;S;Digital;Y;Y;France
10564016;Products;PD Life Sciences;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10564034;Financial Services;FS Insurance;C;FY16Q4;S;S;S;M;S;S;S;S;Digital;N;Y;France
10564043;Health & Public Service;H&PS Citizen Service;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Belgium
10564051;Resources;RS Nat Res;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;N;N;Belgium
10564061;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;Belgium
